1	2	3	4	5	6	7	8	PapBSCn2Kr02	PapBSCn1Kr02	PapBSCn1Ms17	PapBSCn3Ms17	PapBSCn2Ms17	PapBSCn3Kr02	PapBSSc1Mer5	PapBSAp1Mer1	PapBSXt1Mer2	PapBSAp1Mer2	PapBSAp1Mer5	PapBSXt2Mer1	PapBSSc1Mer1	PapBSSc1Mer2	PapBSXt1Mer5	
Bacteria	Proteobacteria	Gammaproteobacteria	Thiohalorhabdales	Thiohalorhabdaceae			New.CleanUp.ReferenceOTU134	0	0	0	3	12	3	0	0	0	0	0	0	1	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae			New.CleanUp.ReferenceOTU138	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae			New.CleanUp.ReferenceOTU141	0	0	0	5	19	1	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria					New.CleanUp.ReferenceOTU144	0	0	0	0	3	1	0	0	0	0	0	0	2	1	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			New.CleanUp.ReferenceOTU145	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
Unassigned							New.CleanUp.ReferenceOTU146	0	8	26	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales				New.CleanUp.ReferenceOTU147	0	0	0	20	43	2	0	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Oscillatoriophycideae	Oscillatoriales	Phormidiaceae			New.CleanUp.ReferenceOTU151	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	HTCC2188	HTCC		New.CleanUp.ReferenceOTU152	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae			New.CleanUp.ReferenceOTU153	0	0	0	0	0	0	0	80	68	34	28	56	0	0	11	
Bacteria	Cyanobacteria	Chloroplast	Stramenopiles				New.CleanUp.ReferenceOTU156	2	0	6	25	100	7	2	0	0	0	0	0	0	1	0	
Bacteria	Proteobacteria	Deltaproteobacteria	NB1-j				New.CleanUp.ReferenceOTU158	0	0	0	6	1	252	0	0	0	0	0	0	0	0	0	
