1	2	3	4	5	6	7	8	anser6	anser4	anser1	anser3	anser8	anser5	anser9	anser7	anser2	
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus		1076969	45	91	18	1	20	34	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales				345158	0	0	6	0	0	0	0	0	0	
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	flexus	680608	0	2	1	0	0	0	0	0	1	
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus		569397	1	2	0	0	0	0	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Epulopiscium		3829951	0	0	0	13	0	0	0	0	1	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	fragi	338200	234	432	44	7	147	146	2	0	1	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium		250206	0	0	0	0	0	0	2	0	0	
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	lividum	832674	13	23	2	0	3	6	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			782953	0	1	7	444	0	0	0	0	22	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			166689	0	0	0	0	0	0	7	2	0	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	psychrolactophilus	816529	102	6	39	2	2	68	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales				1105486	0	0	0	0	3	0	29	1	0	
Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae	Flavisolibacter		32581	0	0	2	0	0	0	0	0	0	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	barnesiae	2362317	0	0	0	0	1	0	0	6	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae			322118	0	0	12	0	2	0	1	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae			342449	0	0	15	0	0	0	7	0	0	
Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium		572889	0	0	1	1384	44	0	2	106	1193	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	uniformis	197924	0	0	3	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		4128270	19	1	16	0	1	2	0	0	0	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Demequina		883057	0	0	0	0	2	0	1	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			514988	0	0	2	0	1	0	0	0	0	
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae			1034960	0	0	0	0	1	0	2	0	0	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae			4339349	2	0	0	0	0	0	0	0	0	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Nesterenkonia		449855	0	0	0	0	33	0	39	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas		284090	0	1	1	0	1	7	0	0	0	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	plebeius	352617	0	0	0	0	2	0	3	35	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			648312	0	0	0	0	1	0	24	5	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae			555945	4	0	8270	782	1049	1	1473	532	58	
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	flexus	656443	85	87	13	2	13	53	0	0	0	
Bacteria	Firmicutes	Bacilli	Bacillales	[Exiguobacteraceae]			144653	2	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	viridiflava	4349788	0	1	1	0	1	0	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae			290645	0	0	0	0	2	0	12	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Candidatus Arthromitus		16195	0	2	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Enhydrobacter		574102	123	120	13	2	30	46	2	1	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			167646	0	0	0	0	0	0	0	0	2	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		158581	0	0	0	0	2	0	0	3	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	prausnitzii	589282	0	0	0	0	0	0	5	0	0	
Bacteria	Firmicutes	Bacilli	Turicibacterales	Turicibacteraceae	Turicibacter		368490	0	0	26	282	106	0	54	194	13	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus		806566	0	2	0	0	0	0	0	0	0	
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Myroides	odoratimimus	561099	68	116	4	2	17	67	0	0	0	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		772282	0	2	1	0	0	0	0	0	0	
Bacteria	Chloroflexi	Thermomicrobia	JG30-KF-CM45				137866	0	0	1	0	1	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae			559204	5	3	0	2	1	4	0	1	1	
Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae			347714	0	0	25	0	0	0	0	0	1	
Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	faecium	99322	1	2	1	0	0	0	1	0	0	
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides		209685	0	0	0	0	1	0	2	9	2	
Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Facklamia		1505939	1	0	0	0	1	0	1	0	0	
Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus		137580	0	0	2	0	0	0	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira		306315	0	0	0	0	0	0	2	0	0	
Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc		303239	0	2	0	1	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	sanguinis	648540	16	22	3	1	3	6	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae			7821	1	1	0	0	0	0	0	0	0	
